Serial # of the imaged chromosome,ID # of the imaged TAD,x(um),y(um),z(um)
5,9,22.105191,22.548477,0.653609
5,10,20.655248,22.110428,1.47695
5,11,19.839136,22.564569,1.398137
5,12,20.640985,22.367396,1.171565
5,13,21.163651,23.9204,1.446768
5,14,21.423171,22.282929,1.21681
5,15,21.62815,22.922656,0.977607
5,16,20.000961,22.992602,1.125504
5,17,20.26493,23.555614,0.942529
5,18,20.919079,23.089326,0.958002
5,19,21.268365,23.681828,0.991413
5,20,20.402641,23.365968,0.70807
5,21,20.457746,24.083506,1.436674
5,22,19.51053,21.638925,0.644741
5,23,21.280542,24.175947,1.105618
5,24,20.740597,24.194911,0.738658
5,25,20.884857,23.196109,1.464124
5,26,20.72607,23.882248,2.437664
5,27,21.776836,24.245562,1.558845
5,28,21.205064,24.082794,1.80551
5,29,22.059123,25.031478,0.91906
5,30,20.764308,24.735051,1.118886
5,31,20.401118,24.434361,1.576223
5,32,19.526828,23.583241,1.307508
5,33,20.944777,24.746112,1.644769
5,34,21.914408,24.26076,1.442171
5,35,21.790348,24.072075,1.465453
5,36,21.275775,24.649621,1.584056
5,37,19.367467,23.954576,1.997125
5,38,21.556567,22.570448,1.307843
5,39,21.887393,23.38923,1.354828
5,40,21.577938,22.955581,1.388311
6,1,27.383107,25.330822,1.805874
6,2,,,
6,3,27.756799,27.319811,1.545788
6,4,26.795912,27.114237,1.41965
6,5,28.350539,25.55322,1.985115
6,6,27.682704,25.622077,1.828886
6,7,27.980421,25.942981,1.339055
6,8,27.541136,26.396778,1.290167
6,9,27.528348,27.098315,1.954699
6,10,27.034986,26.828118,1.912698
6,11,27.119063,27.060279,1.589848
6,12,26.216586,27.157889,1.615279
6,13,,,
6,14,25.812111,26.622886,1.87894
6,15,25.502831,27.043832,2.049929
6,16,25.891701,25.203885,2.416355
6,17,26.488305,25.97918,2.277336
6,18,26.330239,25.415624,1.859248
6,19,26.857337,26.122982,2.063546
6,20,26.47064,26.17644,2.05699
6,21,27.418862,26.678298,2.255923
6,22,27.744379,26.206961,1.680101
6,23,28.003496,26.16698,2.367014
6,24,27.549885,25.738456,2.24331
6,25,26.970417,26.130428,1.755751
6,26,25.504143,27.043259,1.826792
6,27,24.227684,25.844595,1.05298
6,28,25.436482,26.725423,1.523226
6,29,27.816496,26.327417,2.186685
6,30,25.181942,25.358446,2.672602
6,31,,,
6,32,25.000852,26.722601,1.651845
6,33,25.425694,25.846196,1.899859
6,34,24.05697,26.269238,2.040503
6,35,25.003019,24.92697,1.922052
6,36,25.406357,25.00512,2.166554
6,37,24.66318,24.321516,1.741744
6,38,25.378099,24.675183,2.637337
6,39,27.022722,26.025182,1.939897
6,40,27.067987,25.358656,2.287581
7,1,16.383364,19.012677,1.147971
7,2,16.139592,19.120092,0.73142
7,3,16.977772,19.311242,1.35055
7,4,18.02172,19.353049,1.092245
7,5,17.420401,18.609905,2.077243
7,6,16.231111,19.081964,1.790113
7,7,16.359237,19.455489,1.649282
7,8,16.785943,19.837703,1.453052
7,9,17.205081,18.444144,2.039914
7,10,17.2883,17.92694,1.962802
7,11,17.102052,16.855538,1.684105
7,12,16.184792,17.675397,1.768934
7,13,16.902481,17.870271,1.922608
7,14,16.705972,18.527006,1.952189
7,15,16.429869,17.685494,1.833483
7,16,15.717385,19.287854,1.5168
7,17,15.968681,18.448709,1.622126
7,18,15.674665,19.070673,0.774877
7,19,15.449953,17.736594,1.437201
7,20,15.661909,17.577125,1.666292
7,21,16.116652,19.133019,1.027969
7,22,16.002583,18.92691,0.881513
7,23,16.051605,18.170747,0.835922
7,24,15.197857,17.692991,0.941914
7,25,16.611056,17.2128,1.755063
7,26,15.77023,18.154038,1.132397
7,27,16.128614,16.928689,1.780962
7,28,17.364109,17.654161,1.83254
7,29,15.995646,16.991089,1.809033
7,30,15.737308,17.329449,1.510712
7,31,16.16276,17.748433,0.940254
7,32,16.072315,17.790232,0.847855
7,33,16.072263,17.522458,1.458187
7,34,15.422217,17.370221,1.508306
7,35,16.696371,16.345134,1.822545
7,36,16.38123,16.442149,1.966944
7,37,15.997597,16.467937,1.900908
7,38,15.952232,19.711564,0.855488
7,39,15.785201,19.675024,1.58965
7,40,16.071877,18.453129,1.758165
8,1,23.994555,25.345851,2.458749
8,2,24.723365,24.442981,2.793034
8,3,,,
8,4,25.256301,24.643122,2.581134
8,5,24.531036,25.41288,1.641857
8,6,25.58578,24.940968,2.594382
8,7,25.203882,25.103331,3.241399
8,8,25.305252,24.083748,2.250043
8,9,25.193893,23.834277,2.801168
8,10,24.675664,24.235869,2.449149
8,11,24.58408,25.784255,2.040541
8,12,25.233408,24.549238,2.593206
8,13,24.451868,25.331056,2.341275
8,14,24.269304,25.148974,2.932803
8,15,25.338394,25.47087,3.229613
8,16,25.299224,25.479234,2.581493
8,17,25.298218,25.986732,2.924865
8,18,25.01781,26.051785,3.482215
8,19,25.295479,24.722499,0.776512
8,20,25.347275,24.942306,3.484113
8,21,25.204276,25.39105,3.324987
8,22,25.814769,24.357743,2.982299
8,23,24.579076,26.661088,2.356877
8,24,25.668477,24.959936,2.833349
8,25,25.985231,24.650908,2.845906
8,26,25.840661,24.860477,2.470291
8,27,25.51843,24.563936,3.011141
8,28,25.026608,25.952439,2.301533
8,29,26.350494,24.175181,3.383341
8,30,26.367709,25.40056,3.054767
8,31,27.212673,25.233137,2.616894
8,32,27.596955,25.169233,2.645533
8,33,26.546644,24.55084,2.640058
8,34,26.830466,25.455778,3.138782
8,35,26.709268,24.935433,2.183658
8,36,26.218438,25.87853,2.882588
8,37,25.54168,24.99759,0.576711
8,38,26.648001,25.340587,2.888339
8,39,26.931797,24.776421,3.085555
8,40,27.163522,24.490747,0.825762
9,1,22.807664,20.937176,1.203275
9,2,23.548675,20.958219,0.924826
9,3,23.446068,20.930748,1.321947
9,4,22.980531,21.220372,0.626249
9,5,22.852711,21.206826,1.090841
9,6,22.542424,21.188676,1.297152
9,7,22.604007,20.988306,0.713257
9,8,22.104737,21.245334,1.512782
9,9,21.007317,20.862226,0.833128
9,10,21.030199,21.184326,1.316388
9,11,21.246149,21.229097,1.485984
9,12,22.725599,20.462329,1.375895
9,13,22.406899,18.977541,1.498653
9,14,21.139587,21.266126,1.118243
9,15,20.778478,20.952985,0.878176
9,16,22.278808,20.247674,1.101877
9,17,22.500263,20.580974,0.823051
9,18,22.49393,20.2343,0.672581
9,19,23.301652,19.676761,0.53543
9,20,22.738054,20.121929,0.573475
9,21,22.443874,20.396633,0.868288
9,22,23.128709,19.679888,1.16493
9,23,22.347743,19.693871,0.851423
9,24,21.719688,18.911122,1.327755
9,25,21.299792,19.366004,1.397086
9,26,20.859029,19.906097,1.03024
9,27,21.104559,18.44918,1.408986
9,28,20.637263,19.005584,1.662593
9,29,20.753684,18.863783,0.928301
9,30,22.14641,19.331973,1.210826
9,31,22.213573,19.134481,1.013346
9,32,21.901299,18.700477,1.373006
9,33,21.263854,18.886835,0.873344
9,34,21.118038,19.717943,0.770693
9,35,21.079843,19.435515,1.188525
9,36,22.142679,20.503113,0.86728
9,37,21.152835,20.251455,1.088383
9,38,21.181523,19.921264,1.073582
9,39,21.047264,20.594837,0.832441
9,40,21.907323,20.542906,1.186528
10,1,26.214996,23.952339,2.115555
10,2,27.213263,24.050712,2.323498
10,3,26.864104,24.159788,2.353537
10,4,26.136111,25.028241,2.818545
10,5,28.812286,24.359491,0.656082
10,6,25.837304,24.447481,2.866286
10,7,25.837355,23.679378,3.188948
10,8,25.043172,23.471814,2.706292
10,9,27.16255,23.59459,2.759678
10,10,27.311525,23.825329,2.027444
10,11,26.37739,23.040957,2.345463
10,12,26.405904,22.708642,2.296393
10,13,26.752666,23.314603,2.275783
10,14,26.714623,23.679383,2.473554
10,15,26.651866,23.619845,2.29672
10,16,26.877599,23.522657,2.570501
10,17,26.392726,22.71628,3.101898
10,18,26.777163,22.228394,2.877097
10,19,26.892563,22.654403,2.715847
10,20,27.767235,23.157847,2.066139
10,21,27.304104,22.585315,2.318165
10,22,27.940864,22.324924,2.328963
10,23,27.162148,23.008431,2.59101
10,24,27.055867,23.043513,2.35185
10,25,26.994425,21.952547,2.818644
10,26,28.077975,23.939876,2.122994
10,27,28.143085,23.623721,2.438586
10,28,25.034008,22.444888,1.7364
10,29,27.369925,24.071658,3.090691
10,30,27.9392,24.426453,2.688303
10,31,27.427612,22.681849,1.821735
10,32,27.680465,22.955327,2.091538
10,33,28.31288,23.914583,2.150461
10,34,28.075208,22.473874,2.234949
10,35,26.815525,22.760201,1.380831
10,36,28.682269,23.245497,2.060774
10,37,28.330005,23.310883,2.426915
10,38,27.780112,23.34253,2.816413
10,39,27.973373,23.88288,2.96814
10,40,27.584719,24.208617,2.599155
11,1,19.877689,29.967221,2.561536
11,2,20.157475,29.509319,2.350966
11,3,20.482693,29.865137,2.335991
11,4,20.301707,29.764407,1.561066
11,5,19.861673,29.369682,3.00527
11,6,20.572644,29.534162,3.157976
11,7,20.543101,29.000597,3.005249
11,8,21.289385,29.267942,3.005714
11,9,19.819935,29.929332,3.209326
11,10,20.317532,29.704695,2.823381
11,11,19.820807,30.050459,1.714549
11,12,19.269247,30.051708,1.029871
11,13,19.786748,30.05385,1.294686
11,14,19.303231,30.210838,2.189653
11,15,19.021098,28.985614,1.854961
11,16,19.389703,29.05448,2.700873
11,17,19.176913,29.054788,3.120196
11,18,19.240852,29.043419,2.2846
11,19,,,
11,20,19.092645,28.962109,2.214182
11,21,18.894041,29.81855,2.490308
11,22,20.167124,29.029147,2.763022
11,23,20.834678,29.109689,2.508253
11,24,20.143419,30.030512,2.000343
11,25,20.679206,29.477988,2.530044
